Source	Target	Weight
josettehersent	HWarlow	1
josettehersent	teatrolafenice	1
josettehersent	CloChapuis	1
josettehersent	laetirature	1
josettehersent	lilyinthewind10	1
josettehersent	Philipsmithy	1
josettehersent	quantin_hubert	1
josettehersent	Laucom27	1
josettehersent	JeanneOrient	4
josettehersent	cathpellissier	1
josettehersent	daniele_StBois	1
josettehersent	ChupinRegis	2
josettehersent	C_litteraire	1
josettehersent	LaLangelliere	1
josettehersent	RenaudMachart	1
josettehersent	LintimisteMedia	1
josettehersent	clinsdyeux	1
josettehersent	CaritaMaje	1
josettehersent	JMessidor	2
josettehersent	josavigneau	1
josettehersent	HugoLeMaltais	1
